,Year,Modeled Rate (Trend Line)
1329,1984,10.5998
1330,1985,10.8571
1331,1986,11.1207
1332,1987,11.3907
1333,1988,11.6673
1334,1989,11.9506
1335,1990,12.2408
1336,1991,12.538
1337,1992,12.8424
1338,1993,13.1542
1339,1994,13.4736
1340,1995,13.8007
1341,1996,14.1358
1342,1997,14.479
1343,1998,14.8306
1344,1999,15.1907
1345,2000,15.5595
1346,2001,15.9373
1347,2002,16.3243
1348,2003,16.7206
1349,2004,17.1266
1350,2005,17.5424
1351,2006,17.9684
1352,2007,18.4046
1353,2008,18.8515
1354,2009,19.3092
1355,2010,19.0078
1356,2011,18.7112
1357,2012,18.4191
1358,2013,19.3493
1359,2014,20.3265
1360,2015,21.353
1361,2016,21.0374
1362,2017,20.7264
1363,2018,20.42
1364,1975,5.0612
1365,1976,5.39
1366,1977,5.7402
1367,1978,6.1132
1368,1979,6.5104
1369,1980,6.9334
1370,1981,7.0499
1371,1982,7.1685
1372,1983,7.289
1373,1984,7.4116
1374,1985,7.5362
1375,1986,7.6629
1376,1987,7.7917
1377,1988,7.9227
1378,1989,8.056
1379,1990,8.1914
1380,1991,8.3291
1381,1992,8.4692
1382,1993,8.6116
1383,1994,8.7564
1384,1995,8.9036
1385,1996,9.0533
1386,1997,9.2055
1387,1998,9.3603
1388,1999,9.5177
1389,2000,9.6777
1390,2001,9.8404
1391,2002,10.0059
1392,2003,10.1741
1393,2004,10.3452
1394,2005,10.5191
1395,2006,10.696
1396,2007,10.6633
1397,2008,10.6307
1398,2009,10.5981
1399,2010,10.5657
1400,2011,10.5334
1401,2012,10.5012
1402,2013,10.4691
1403,2014,10.4371
1404,2015,10.4052
1405,2016,10.3734
1406,2017,10.3416
1407,2018,10.31
1408,1975,12.053
1409,1976,12.8845
1410,1977,13.7732
1411,1978,14.7233
1412,1979,15.7389
1413,1980,16.8246
1414,1981,17.9852
1415,1982,18.1911
1416,1983,18.3993
1417,1984,18.6099
1418,1985,18.823
1419,1986,19.0385
1420,1987,19.2564
1421,1988,19.4769
1422,1989,19.6999
1423,1990,19.9254
1424,1991,20.1535
1425,1992,20.3842
1426,1993,20.6176
1427,1994,20.8536
1428,1995,22.1264
1429,1996,23.4768
1430,1997,24.9097
1431,1998,26.4301
1432,1999,26.9367
1433,2000,27.453
1434,2001,27.9793
1435,2002,28.5156
1436,2003,29.0622
1437,2004,29.6193
1438,2005,30.187
1439,2006,30.7657
1440,2007,31.3554
1441,2008,31.9565
1442,2009,32.569
1443,2010,33.1933
1444,2011,33.8296
1445,2012,34.4781
1446,2013,35.139
1447,2014,35.8125
1448,2015,36.499
1449,2016,37.1987
1450,2017,37.9117
1451,2018,38.6384
1452,1975,13.9583
1453,1976,14.5285
1454,1977,15.1219
1455,1978,15.7397
1456,1979,16.3826
1457,1980,17.0519
1458,1981,17.7485
1459,1982,18.4735
1460,1983,19.2281
1461,1984,20.0136
1462,1985,20.8312
1463,1986,21.6821
1464,1987,22.5678
1465,1988,23.4897
1466,1989,24.4493
1467,1990,25.4481
1468,1991,26.4876
1469,1992,27.5697
1470,1993,28.6959
1471,1994,29.8681
1472,1995,31.0882
1473,1996,32.3582
1474,1997,33.68
1475,1998,34.7
1476,1999,35.7508
1477,2000,36.8334
1478,2001,37.9488
1479,2002,39.098
1480,2003,40.282
1481,2004,41.5019
1482,2005,42.7587
1483,2006,44.0536
1484,2007,45.3876
1485,2008,46.7621
1486,2009,48.1782
1487,2010,49.6372
1488,2011,51.1403
1489,2012,52.689
1490,2013,54.2846
1491,2014,55.9285
1492,2015,57.6221
1493,2016,59.3671
1494,2017,61.1649
1495,2018,63.0172
1496,1975,-
1497,1976,-
1498,1977,-
1499,1978,-
1500,1979,-
1501,1980,-
1502,1981,-
1503,1982,-
1504,1983,-
1505,1984,-
1506,1985,-
1507,1986,-
1508,1987,-
1509,1988,-
1510,1989,-
1511,1990,-
1512,1991,-
1513,1992,-
1514,1993,-
1515,1994,-
1516,1995,-
1517,1996,-
1518,1997,-
1519,1998,-
1520,1999,-
1521,2000,-
1522,2001,-
1523,2002,-
1524,2003,-
