,dt,AverageTemperature,Country
723,1856-04-01,26.949,India
724,1856-05-01,29.095,India
725,1856-06-01,28.716,India
726,1856-07-01,26.478,India
727,1856-08-01,24.847,India
728,1856-09-01,24.87,India
729,1856-10-01,22.99,India
730,1856-11-01,19.765,India
731,1856-12-01,16.776,India
732,1857-01-01,16.039,India
733,1857-02-01,18.305,India
734,1857-03-01,22.687,India
735,1857-04-01,26.196,India
736,1857-05-01,28.663,India
737,1857-06-01,27.666,India
738,1857-07-01,26.262,India
739,1857-08-01,25.531,India
740,1857-09-01,25.11,India
741,1857-10-01,22.736,India
742,1857-11-01,19.622,India
743,1857-12-01,16.757,India
744,1858-01-01,17.017,India
745,1858-02-01,18.986,India
746,1858-03-01,23.347,India
747,1858-04-01,27.872,India
748,1858-05-01,29.408,India
749,1858-06-01,28.51,India
750,1858-07-01,26.404,India
751,1858-08-01,25.707,India
752,1858-09-01,25.259,India
753,1858-10-01,23.707,India
754,1858-11-01,20.666,India
755,1858-12-01,16.317999999999998,India
756,1859-01-01,16.650000000000002,India
757,1859-02-01,19.179,India
758,1859-03-01,23.664,India
759,1859-04-01,27.814,India
760,1859-05-01,29.891,India
761,1859-06-01,28.818,India
762,1859-07-01,26.559,India
763,1859-08-01,25.559,India
764,1859-09-01,25.1,India
765,1859-10-01,23.766,India
766,1859-11-01,20.244,India
767,1859-12-01,16.809,India
768,1860-01-01,16.324,India
769,1860-02-01,18.812,India
770,1860-03-01,22.138,India
771,1860-04-01,27.185,India
772,1860-05-01,29.518,India
773,1860-06-01,28.86,India
774,1860-07-01,26.882,India
775,1860-08-01,26.149,India
776,1860-09-01,25.839,India
777,1860-10-01,23.672,India
778,1860-11-01,19.835,India
779,1860-12-01,15.548000000000002,India
780,1861-01-01,15.27,India
781,1861-02-01,18.336,India
782,1861-03-01,23.034,India
783,1861-04-01,26.995,India
784,1861-05-01,29.198,India
785,1861-06-01,28.588,India
786,1861-07-01,26.642000000000003,India
787,1861-08-01,25.81900000000001,India
788,1861-09-01,25.318,India
789,1861-10-01,23.41,India
790,1861-11-01,20.327,India
791,1861-12-01,16.655,India
792,1862-01-01,15.332,India
793,1862-02-01,17.901,India
794,1862-03-01,22.746,India
795,1862-04-01,,India
796,1862-05-01,,India
